timestamp,floor,room,occupancy,device_usage,temperature,humidity,windspeed,visibility,predicted_appliances
2025-03-10 23:32:29.866436,8,4,0,2,28.35,57.05,6.01,40.83,110.0
2025-03-10 23:32:31.884136,10,1,3,5,18.26,50.82,6.71,95.91,250.0
2025-03-10 23:32:33.890164,4,2,3,5,21.31,52.43,3.36,56.86,325.0
2025-03-10 23:32:35.899859,9,1,3,5,28.31,43.93,5.87,89.12,262.5
2025-03-10 23:32:37.906838,4,3,0,1,28.99,48.3,2.1,38.46,65.0
2025-03-10 23:32:39.912272,7,4,3,5,20.03,67.12,4.96,74.36,287.5
2025-03-10 23:32:41.919812,5,1,4,4,19.87,43.25,3.49,80.45,250.0
2025-03-10 23:32:43.928767,9,5,0,1,27.2,68.81,1.77,24.6,52.5
2025-03-10 23:32:45.934696,4,2,1,2,27.81,59.57,7.54,45.22,130.0
2025-03-10 23:32:47.944859,5,4,1,3,27.18,49.99,2.66,72.14,187.5
2025-03-10 23:32:49.954526,2,3,1,2,25.92,50.76,3.12,69.02,140.0
2025-03-10 23:32:51.963106,8,5,2,2,27.1,67.85,2.26,78.38,110.0
2025-03-10 23:32:53.972723,8,1,1,3,28.92,57.69,4.81,76.75,165.0
2025-03-10 23:32:55.982623,8,2,3,3,22.29,58.0,6.07,96.58,165.0
2025-03-10 23:32:57.991755,4,3,3,4,29.74,45.55,5.28,69.46,260.0
2025-03-10 23:33:00.000161,6,1,4,4,23.14,46.43,4.98,43.03,240.0
2025-03-10 23:33:02.007704,9,3,3,5,24.09,67.72,1.12,70.32,262.5
2025-03-10 23:33:04.016508,9,1,2,2,25.64,69.68,2.61,63.01,105.0
2025-03-10 23:33:06.025806,8,4,4,6,24.32,33.64,6.59,77.9,330.0
2025-03-10 23:33:08.031856,9,4,4,4,24.76,32.72,3.95,92.17,210.0
2025-03-10 23:33:10.038129,5,3,3,4,29.42,47.16,8.54,84.32,250.0
2025-03-10 23:33:12.046134,2,1,3,5,26.11,52.75,3.94,57.63,350.0
2025-03-10 23:33:14.055310,1,1,0,2,23.81,36.96,3.63,84.15,145.0
2025-03-10 23:33:16.060175,2,1,1,2,24.85,61.98,3.73,60.55,140.0
2025-03-10 23:33:18.065948,10,2,4,6,20.05,44.4,2.7,15.19,300.0
2025-03-10 23:33:20.076043,2,2,0,1,23.09,60.92,8.37,53.03,70.0
2025-03-10 23:33:22.085894,7,2,2,3,20.27,52.01,4.25,21.59,172.5
2025-03-10 23:33:24.096376,6,1,2,3,23.35,53.99,9.52,30.61,180.0
2025-03-10 23:33:26.103931,2,3,2,4,27.19,68.38,4.03,56.98,280.0
2025-03-10 23:33:28.108111,4,5,2,3,23.95,60.05,6.23,30.18,195.0
2025-03-10 23:33:30.118351,6,5,1,2,27.35,68.55,0.63,94.83,120.0
2025-03-10 23:33:32.127543,5,4,4,5,18.82,42.65,5.09,73.89,312.5
2025-03-10 23:33:34.137562,7,4,1,3,21.35,31.99,6.47,97.69,172.5
2025-03-10 23:33:36.145793,1,5,1,1,22.28,65.49,7.04,72.51,72.5
2025-03-10 23:33:38.155391,3,3,1,2,21.6,31.43,2.25,15.12,135.0
2025-03-10 23:33:40.162882,3,1,3,4,28.04,65.7,3.29,60.32,270.0
2025-03-10 23:33:42.170803,10,2,0,2,27.06,68.63,5.41,10.62,100.0
2025-03-10 23:33:44.177497,10,4,0,1,20.98,38.04,8.24,85.11,50.0
2025-03-10 23:33:46.187132,9,5,1,3,29.94,42.36,5.03,18.39,157.5
2025-03-10 23:33:48.192284,8,3,1,2,20.36,62.89,8.19,65.38,110.0
2025-03-10 23:33:50.197609,6,1,0,2,28.42,43.48,4.44,97.8,120.0
2025-03-10 23:33:52.207443,5,1,2,3,23.47,39.6,2.14,70.17,187.5
2025-03-10 23:33:54.214835,1,2,2,4,25.9,60.53,7.22,61.64,290.0
2025-03-10 23:33:56.220647,2,1,3,5,24.72,65.81,3.48,38.87,350.0
2025-03-10 23:33:58.226621,6,2,2,2,26.79,50.73,4.55,53.66,120.0
